ID,sentence1,sentence2,category,studied_quantity,result_comparison,equation_sentence1,equation_sentence2,task,natural_language_coefficient
99,"[PERSON_A] tracked a satellite orbiting at 360 kilometers, then observed it ascending an additional 80 kilometers, before it finally descended 30 kilometers to stabilize.","[PERSON_B] tracked a satellite at 320 kilometers altitude, watched it climb to twice its initial height, and then descend by 280 kilometers.",Technology,distance,less,360 + 80 - 30,320 + 320 - 280,tracking satellite movements,TRUE
100,"[PERSON_A] measured a racing circuit of 3.6 kilometers, added a pit lane that was one-fifth of the circuit length, and included a test track that was 2.4 kilometers long.","[PERSON_B] measured a 2.5-kilometer sprint course, extended it by 1.8 kilometers for endurance races, and added a 1.42-kilometer technical section.",Travel,distance,less,3.6 + (3.6/5) + 2.4,2.5 + 1.8 + 1.42,measuring racing tracks,FALSE
101,"[PERSON_A] sailed 24 nautical miles along the coast, diverted 6 nautical miles around a reef, and traveled an additional distance equal to one-third of the coastal route.","[PERSON_B] sailed 18 nautical miles to an island, continued for 12 nautical miles to a second island, and finished with a journey that was one-sixth of the total distance between the islands.",Travel,distance,less,24 + 6 + (24/3),18 + 12 + ((18+12)/6),sailing between locations,FALSE
102,"[PERSON_A] built a fence 75 yards long on one side of the property, added a section that was twice as long on the second side, and completed the enclosure with a third section equal to the average of the first two sides.","[PERSON_B] built a fence 150 yards long for the back boundary, added 112.5 yards for the front section, and finished with 62.5 yards of fencing for the connecting sides.",Home & Living,distance,less,75 + (2×75) + ((75+(2×75))/2),150 + 112.5 + 62.5,building property fences,TRUE
103,"[PERSON_A] spent 4 hours studying biology, half that time on chemistry, and 2 more hours than biology on physics.","[PERSON_B] spent 3 hours studying biology, twice that time on chemistry, and 1 hour on physics.",Education,time,less,4 + (4/2) + (4+2),3 + (3×2) + 1,studying,TRUE
104,"[PERSON_A] drove 5 miles to work, then 2 miles to lunch, and finally drove 3 times the lunch distance back home.","[PERSON_B] drove 3 miles to work, then 4 miles to lunch, and finally drove home which was 2 miles more than the distance to work.",Transportation,distance,less,5 + 2 + (3×2),3 + 4 + (3+2),driving miles,FALSE
105,"[PERSON_A] spent 3 days in Paris, 2 days in Rome, and twice the Paris time in London.","[PERSON_B] spent 4 days in Paris, 1 day in Rome, and the sum of Paris and Rome days in London.",Travel,time,less,3 + 2 + (2×3),4 + 1 + (4+1),traveling days,TRUE
106,"[PERSON_A] saved $4 on Monday, spent $1 on Tuesday, and saved triple Monday's amount on Wednesday.","[PERSON_B] saved $2 on Monday, saved $8 on Tuesday, and spent $2 on Wednesday.",Personal Care,money,less,4 - 1 + (3×4),2 + 8 - 2,saving money,TRUE
107,"[PERSON_A] spent 2 hours cleaning the kitchen, 1 hour cleaning the bathroom, and 3 times kitchen time cleaning the garage.","[PERSON_B] spent 3 hours cleaning the kitchen, 2 hours cleaning the bathroom, and the same time as the bathroom cleaning the garage.",Home & Living,time,less,2 + 1 + (3×2),3 + 2 + 2,cleaning,TRUE
108,"[PERSON_A] read 3 chapters on Monday, 2 chapters on Tuesday, and 4 more than Monday on Wednesday.","[PERSON_B] read 2 chapters on Monday, 4 chapters on Tuesday, and 3 chapters on Wednesday.",Education,others,less,3 + 2 + (3+4),2 + 4 + 3,reading chapters,FALSE
109,"[PERSON_A] bought a monitor for $5, a keyboard for $3, and a mouse that cost half the monitor price.","[PERSON_B] bought a monitor for $4, a keyboard for $4, and a mouse for $2.",Technology,money,less,5 + 3 + (5/2),4 + 4 + 2,buying computer peripherals,TRUE
110,"[PERSON_A] planted 2 roses, 3 tulips, and 4 more roses than tulips.","[PERSON_B] planted 5 roses, 2 tulips, and double the number of tulips in daisies.",Home & Living,others,less,2 + 3 + (3+4),5 + 2 + (2×2),planting flowers,TRUE
111,"[PERSON_A] ordered 3 pizzas, ate 1, and then ordered 5 more.","[PERSON_B] ordered 4 pizzas, ate 2, and then ordered double the number eaten.",Dining,others,equal,3 + 5,4 + (2×2),ordering pizzas,TRUE
112,"[PERSON_A] spent $2 on apps, $3 on music, and triple the app cost on games.","[PERSON_B] spent $3 on apps, $4 on music, and $2 on games.",Entertainment,money,less,2 + 3 + (3×2),3 + 4 + 2,buying digital entertainment,TRUE
113,"[PERSON_A] bought 3 shirts at $5 each, then spent $6 on socks and returned an item worth $4.","[PERSON_B] purchased a $9 sweater, two pairs of socks for $4 each, and used a $2 coupon.",Shopping,money,less,(3×5)+6-4,9+(2×4)-2,buying clothing,FALSE
114,"[PERSON_A] paid $14.99 for a movie ticket, $8.50 for popcorn, and $3.75 for a drink.",[PERSON_B] bought a movie combo deal for $19.99 and an upgraded ticket for $7.25.,Entertainment,money,equal,14.99 + 8.50 + 3.75,19.99 + 7.25,going to the cinema,FALSE
115,"[PERSON_A] bought 3 shirts for $15 each and 2 pairs of pants for $25 each, then received a $10 discount at checkout.","[PERSON_B] purchased 2 shirts for $20 each and 3 pairs of jeans for $15 each, then used a $5 coupon at the register.",Shopping,money,less,(3×15) + (2×25) - 10,(2×20) + (3×15) - 5,buying clothing,FALSE
116,"[PERSON_A] ordered a $22 entrée, a $9 appetizer, and a $7 drink, then added a 20% tip on the food items only.","[PERSON_B] purchased a $28 main course and a $4 side dish, then left a 15% tip on the total bill.",Dining,money,less,22 + 9 + 7 + (0.2×(22+9)),28 + 4 + (0.15×(28+4)),dining at restaurants,FALSE
117,"[PERSON_A] hiked 7.5 km on Saturday, 4.5 km on Sunday, and twice the difference between Saturday and Sunday on Monday.","[PERSON_B] walked 9 km on Friday, 2 km on Saturday, and the average of Friday and Saturday's distances on Sunday.",Health & Fitness,distance,less,7.5 + 4.5 + (2×(7.5-4.5)),9 + 2 + ((9+2)/2),covering distance on foot,TRUE
118,"[PERSON_A] invested $450 in stocks, $350 in bonds, and 20% of the total amount in a savings account.","[PERSON_B] put $520 in a retirement fund, $120 in cryptocurrency, and 40% of the cryptocurrency amount in a mutual fund.",Shopping,money,less,450 + 350 + (0.2×(450+350)),520 + 120 + (0.4×120),investing money,FALSE
119,"[PERSON_A] applied 30 ml of cleanser, 15 ml of toner, and triple the amount of toner in moisturizer to complete their skincare routine.","[PERSON_B] used 25 ml of face wash, 20 ml of serum, and twice the difference between the face wash and serum in sunscreen.",Personal Care,others,less,30 + 15 + (3×15),25 + 20 + (2×(25-20)),using skincare products,TRUE
120,"[PERSON_A] spent $120 on hotel accommodations, $85 on meals, and 25% of the combined cost on tourist activities during vacation.","[PERSON_B] paid $95 for airfare, $60 for a rental car, and 50% of the total transportation expenses on souvenirs.",Travel,money,less,120 + 85 + (0.25×(120+85)),95 + 60 + (0.5×(95+60)),vacationing,FALSE
121,"[PERSON_A] typed 45 words per minute for 20 minutes, then increased to 60 words per minute for another 15 minutes.","[PERSON_B] typed 50 words per minute for 30 minutes, then decreased to 40 words per minute for the last 5 minutes.",Technology,others,less,(45×20) + (60×15),(50×30) + (40×5),typing words,FALSE
122,"[PERSON_A] downloaded 2.5 GB of movies, 1.5 GB of music, and twice the amount of movies in video games.","[PERSON_B] installed 3 GB of software, 0.5 GB of photos, and the combined total of software and photos in application updates.",Technology,others,less,2.5 + 1.5 + (2×2.5),3 + 0.5 + (3+0.5),downloading digital content,TRUE
123,"[PERSON_A] read 120 pages on Monday, twice as many on Tuesday, and half of Monday's pages on Wednesday.","[PERSON_B] read 240 pages on Monday, 60 pages on Tuesday, and 40 pages more than Tuesday on Wednesday.",Education,others,less,120 + (120*2) + (120/2),240 + 60 + (60+40),reading pages,TRUE
124,"[PERSON_A] spent $275 on groceries, $125 on household supplies, and returned items worth $50.","[PERSON_B] purchased food for $180, cleaning products for $95, and paid $75 for toiletries and returned merchandise worth half of the toiletries cost.",Home & Living,money,less,275 + 125 - 50,180 + 95 + 75 - (75/2),buying household items,TRUE
125,"[PERSON_A] planted 125 trees in the east section, 75 trees in the west section, and 4 times as many trees in the north section as the west section.","[PERSON_B] planted 200 trees in the south section, 300 trees in the north section, and removed 25 diseased trees from the total.",Home & Living,others,less,125 + 75 + (75*4),200 + 300 - 25,planting trees,FALSE
126,"[PERSON_A] downloaded 125 songs at 8 MB each, 40 photos at 4 MB each, and deleted 45 MB of old files.","[PERSON_B] downloaded a movie of 750 MB, 65 MB of documents, and compressed the total by 25%.",Technology,others,less,(125*8) + (40*4),(750 + 65) + ((750 + 65) * 0.75),downloading content,FALSE
127,"[PERSON_A] drove 85 miles to work each week, walked 3 miles daily for 30 days, and biked 115 miles throughout the month.","[PERSON_B] commuted 340 miles in a car during the month, walked 90 miles total, and took public transportation for an additional 60 miles.",Transportation,distance,less,(85*4) + (3*30) + 115,340 + 90 + 60,traveling miles in a month,FALSE
128,"[PERSON_A] attended 120 minutes of lectures on Monday, twice as many minutes on Wednesday, and half of Monday's time on Friday.","[PERSON_B] studied for 180 minutes on Tuesday, 120 minutes on Thursday, and 60 minutes over the weekend.",Education,time,less,120 + (120*2) + (120/2),180 + 120 + 60,studying,TRUE
129,"[PERSON_A] ordered 3 meals for $28 each, 4 desserts for $12 each, and left a tip of $20.","[PERSON_B] dined at a restaurant spending $120 on food, $32 on drinks, and added a 15% gratuity on the total bill.",Dining,money,less,(3*28) + (4*12) + 20,120 + 32 + ((120+32)*0.15),dining out,FALSE
130,"[PERSON_A] purchased 125 shares of a tech stock at $3 each, then sold 75 shares at $4 each, and kept the remaining shares worth $2 each.","[PERSON_B] bought 50 shares of a tech stock at $3 each, then purchased another 100 shares at $2 each, and sold 25 shares at $5 each.",Technology,money,less,(125 × 3) + (75 × 4) + (50 × 2),(50 × 3) + (100 × 2) + (25 × 5),investing in tech stocks,FALSE
131,"[PERSON_A] ordered a meal for $28, added appetizers for $17, and left a tip that was 20% of the food cost.","[PERSON_B] purchased an entrée for $32, a dessert for $13, and paid a service charge of 15% on the total bill.",Dining,money,less,28 + 17 + (0.2 × 45),32 + 13 + (0.15 × 45),dining on restaurant meal,FALSE
132,"[PERSON_A] spent $19 on lunch for 4 days, $24 on lunch for 2 days, and cooked at home for $7 on the remaining day.","[PERSON_B] bought lunch for $17 on 3 days, $22 on 3 days, and spent $11 on groceries for the last day.",Dining,money,less,(19 × 4) + (24 × 2) + 7,(17 × 3) + (22 × 3) + 11,buying weekly lunches,FALSE
133,"[PERSON_A] drove 120 miles at 60 mph, took a 30-minute break, then drove another 45 miles at 45 mph.","[PERSON_B] drove 90 miles at 45 mph, then drove 75 miles at 75 mph.",Transportation,time,equal,120/60 + 45/45,90/45 + 75/75,driving,FALSE
134,"[PERSON_A] spent $27 on dinner, left a 15% tip, and paid $5 for parking.","[PERSON_B] spent $24 on dinner, left a 25% tip, and paid $4 for parking.",Dining,money,less,27 + (27×0.15) + 5,24 + (24×0.25) + 4,dining out,FALSE
135,"[PERSON_A] paid $850 for rent, $120 for utilities, and set aside 15% of these costs for maintenance.",[PERSON_B] paid $920 for rent including utilities and set aside $145.50 for unexpected repairs.,Home & Living,money,less,850 + 120 + (970×0.15),920 + 145.5,housing,FALSE
136,"[PERSON_A] spent 1.5 hours on homework, took a 20-minute break, then studied for another 40 minutes.",[PERSON_B] attended a 2-hour study group and did 10 minutes of review before bed.,Education,time,equal,(1.5×60) + 40,(2×60) + 10,studying,FALSE
137,"[Person_A] bought 3 shirts at $25 each, returned 1 for a full refund, then purchased 2 more at $35 each.",[Person_B] purchased 4 shirts at $30 each and returned 2 for a full refund.,Shopping,money,less,(3 × 25) - 25 + (2 × 35),(4 × 30) - (2 × 30),buying shirts,FALSE
138,"[Person_A] hiked 4.5 miles on Monday, twice that distance on Wednesday, and half of Monday's distance on Friday.","[Person_B] hiked 3 miles on Monday, three times that distance on Wednesday, and one-third of Wednesday's distance on Friday.",Health & Fitness,distance,less,4.5 + (2 × 4.5) + (4.5 × 0.5),3 + (3 × 3) + (3 × 3 × 1/3),hiking distances,TRUE
139,"[Person_A] spent 2 hours studying math, 45 minutes on science, and twice the math time on literature.","[Person_B] spent 90 minutes on math, half that time on science, and twice the science time on literature.",Education,time,less,2 + (45/60) + (2 × 2),(90/60) + ((90/60) × 0.5) + ((90/60) × 0.5 × 2),studying,TRUE
140,"[Person_A] watched a 2-hour movie, then a series of three 40-minute episodes, and finally a 30-minute comedy special.","[Person_B] watched a 90-minute movie, followed by two 45-minute documentaries, and then a 50-minute episode.",Entertainment,time,less,2 + (3 × 40/60) + (30/60),(90/60) + (2 × 45/60) + (50/60),watching shows,FALSE
141,"[Person_A] ate a 650-calorie breakfast, a lunch that was 1.5 times the calories of breakfast, and a dinner that was 200 calories less than lunch.","[Person_B] ate an 800-calorie breakfast, a lunch that was half the calories of breakfast, and a dinner that was twice the calories of lunch.",Dining,others,less,650 + (650 × 1.5) + ((650 × 1.5) - 200),800 + (800 × 0.5) + (800 × 0.5 × 2),consuming calories in meals,TRUE
142,"[Person_A] paid $1200 for rent, one-fourth of the rent for utilities, and one-fifth of the rent for internet and streaming services.","[Person_B] paid $800 for rent, half of the rent for utilities, and one-tenth of the combined rent and utilities cost for internet and streaming services.",Home & Living,money,less,1200 + (1200 × 0.25) + (1200 × 0.2),800 + (800 × 0.5) + ((800 + (800 × 0.5)) × 0.1),paying for living expenses,TRUE
143,"[Person_A] bought a laptop for $1200, a printer for one-sixth of the laptop's price, and three ink cartridges at $25 each.","[Person_B] bought a laptop for $1000, a printer for one-fifth of the laptop's price, and five ink cartridges at $20 each.",Technology,money,less,1200 + (1200 × 1/6) + (3 × 25),1000 + (1000 × 1/5) + (5 × 20),buying computer equipment,FALSE
144,"[Person_A] spent $85 on a facial treatment, $45 on a manicure, and three times the manicure cost on a haircut.","[Person_B] spent $65 on a facial treatment, $60 on a manicure, and twice the facial treatment cost on a haircut.",Personal Care,money,less,85 + 45 + (45 × 3),65 + 60 + (65 × 2),getting beauty treatments,TRUE
145,"[Person_A] ordered 2 entrees at $18 each, 3 appetizers at $12 each, and left a 20% tip on the subtotal.","[Person_B] ordered 3 entrees at $16 each, 2 appetizers at $9 each, and left a 15% tip on the subtotal.",Dining,money,less,(2 × 18) + (3 × 12) + ((2 × 18 + 3 × 12) × 0.2),(3 × 16) + (2 × 9) + ((3 × 16 + 2 × 9) × 0.15),buying restaurant meal,FALSE
146,"[Person_A] completed a 3-credit course costing $350 per credit, purchased books for $120, and paid a technology fee that was 15% of the tuition.","[Person_B] completed a 4-credit course costing $250 per credit, purchased books for $95, and paid a technology fee that was 20% of the tuition.",Education,money,less,(3 × 350) + 120 + ((3 × 350) × 0.15),(4 × 250) + 95 + ((4 × 250) × 0.2),paying education expenses,FALSE
147,"[Person_A] spent 3 hours cleaning the kitchen, 45 minutes on laundry, and twice the kitchen time on organizing the garage.","[Person_B] spent 2 hours cleaning the kitchen, 90 minutes on laundry, and three times the laundry time on organizing the garage.",Home & Living,time,less,3 + (45/60) + (3 × 2),2 + (90/60) + ((90/60) × 3),doing household chores,TRUE
148,"[Person_A] walked 2.5 miles to the park, jogged 1.75 times that distance on a trail, and then walked half the original distance back home.","[Person_B] walked 1.5 miles to the park, jogged 3 times that distance on a trail, and then walked the same distance as the original walk back home.",Health & Fitness,distance,less,2.5 + (2.5 × 1.75) + (2.5 × 0.5),1.5 + (1.5 × 3) + 1.5,covering distances during exercise,TRUE
149,"[Person_A] purchased a 6-month gym membership for $50 per month, a fitness tracker for $120, and three personal training sessions at $65 each.","[Person_B] purchased a 3-month gym membership for $80 per month, a fitness tracker for $95, and five personal training sessions at $45 each.",Health & Fitness,money,less,(6 × 50) + 120 + (3 × 65),(3 × 80) + 95 + (5 × 45),doing fitness activities,FALSE
150,"[Person_A] streamed movies for 2.5 hours on Friday, 1.5 times Friday's duration on Saturday, and half of Friday's duration on Sunday.","[Person_B] streamed movies for 2 hours on Friday, twice Friday's duration on Saturday, and one-fourth of Saturday's duration on Sunday.",Entertainment,time,less,2.5 + (2.5 × 1.5) + (2.5 × 0.5),2 + (2 × 2) + ((2 × 2) × 0.25),streaming movies,TRUE
151,"[PERSON_A] spent 20 minutes on math homework, 15 minutes on science, and one-third of the total time on English.","[PERSON_B] spent 15 minutes on math homework, 20 minutes on science, and one-fourth of the total time on English.",Education,time,less,20 + 15 + ((20+15)/3),15 + 20 + ((15+20)/4),doing homework,FALSE
152,"[PERSON_A] pays $25 for a monthly streaming service, $15 for music subscription, and three times the music subscription for a gaming platform.","[PERSON_B] pays $15 for a monthly streaming service, $25 for music subscription, and twice the streaming service for a gaming platform.",Technology,money,less,25 + 15 + (3×15),15 + 25 + (2×15),paying for subscriptions,TRUE
153,"[PERSON_A] drove 120 miles to visit family, then 30 miles for sightseeing, and finally one-fourth of the total distance to return home.","[PERSON_B] drove 90 miles to visit family, then 60 miles for sightseeing, and finally one-sixth of the total distance to return home.",Travel,distance,less,120 + 30 + ((120+30)/4),90 + 60 + ((90+60)/6),driving miles,FALSE
154,"[PERSON_A] waits 15 minutes for the bus, travels for 35 minutes, and then walks for half the bus travel time.","[PERSON_B] waits 20 minutes for the bus, travels for 30 minutes, and then walks for half the bus waiting time.",Transportation,time,less,15 + 35 + (35/2),20 + 30 + (20/2),commuting,TRUE
155,"[PERSON_A] bought 3 notebooks for $4 each and 5 pens for $2 each, then returned 1 notebook.","[PERSON_B] bought 2 notebooks for $4 each and 10 pens for $1 each, then returned 2 pens.",Education,money,less,(3×4) + (5×2) - 4,(2×4) + (10×1) - (2×1),buying school supplies,FALSE
156,"[PERSON_A] watched 2 movies lasting 2 hours each, a TV show for 1 hour, and spent half the total time browsing social media.","[PERSON_B] watched 1 movie lasting 2 hours, 2 TV shows lasting 1 hour each, and spent one-third of the total time browsing social media.",Entertainment,time,less,(2×2) + 1 + ((2×2+1)/2),2 + (2×1) + ((2+2×1)/3),watching content,TRUE
157,"[PERSON_A] spends $12 on lunch during weekdays, $18 on weekend lunches, and twice the weekday amount on dinners per week.","[PERSON_B] spends $14 on lunch during weekdays, $10 on weekend lunches, and twice the weekend amount on dinners per week.",Dining,money,less,(12×5) + (18×2) + (12×5×2),(14×5) + (10×2) + (10×2×2),buying meals,TRUE
158,"[PERSON_A] uses 8 gallons of water for showering per week, 12 gallons for dishes, and three times the showering amount for laundry.","[PERSON_B] uses 12 gallons of water for showering per week, 8 gallons for dishes, and twice the dish amount for laundry.",Home & Living,others,less,8 + 12 + (3×8),12 + 8 + (2×8),using gallons of water,TRUE
159,"[PERSON_A] walks 3000 steps in the morning, 2000 steps in the afternoon, and half the morning amount in the evening.","[PERSON_B] walks 2500 steps in the morning, 2500 steps in the afternoon, and half the afternoon amount in the evening.",Health & Fitness,distance,less,3000 + 2000 + (3000/2),2500 + 2500 + (2500/2),walking steps,TRUE
160,"[PERSON_A] bought a shirt for $24, pants for $36, and shoes for twice the price of the shirt.","[PERSON_B] bought a shirt for $30, pants for $30, and shoes for twice the price of the pants.",Shopping,money,more,24 + 36 + (2×24),30 + 30 + (2×30),buying clothes,TRUE
161,"[PERSON_A] bought 12 apples at the farmers market, gave away a quarter of them to neighbors, and then purchased triple the remaining amount at the grocery store.","[PERSON_B] purchased 9 apples at the farmers market, doubled this amount at the grocery store, and then added 6 more apples from a friend's orchard.",Shopping,others,less,12 + (3*(12-12/4)),9 + (2*9) + 6,buying apples,TRUE
162,"[PERSON_A] bought a laptop for $1200, spent a sixth of that amount on software, and then purchased accessories costing a quarter of the laptop's price.","[PERSON_B] spent $300 on computer accessories, triple that amount on a laptop, and then bought software for $200.",Technology,money,less,1200 + (1200/6) + (1200/4),300 + (3*300) + 200,buying technology,TRUE
163,"[PERSON_A] ordered a meal costing $24, added sides worth half the meal's price, and included a 20% tip on the total.","[PERSON_B] spent $18 on a meal, added $12 in sides, and left a 15% tip on the subtotal.",Dining,money,less,24 + (24/2) + (0.2*(24+24/2)),18 + 12 + (0.15*(18+12)),dining out,TRUE
164,"[PERSON_A] purchased a skincare set for $45, added makeup products costing twice as much, and then bought hair care items for a third of the makeup cost.","[PERSON_B] spent $90 on makeup, half that amount on skincare, and another $30 on hair care products.",Personal Care,money,equal,45 + (2*45) + ((2*45)/3),90 + (90/2) + 30,buying beauty products,TRUE
165,"[PERSON_A] watched 3 movies on Saturday, spent double that time reading on Sunday, and then devoted half the reading time to gaming.","[PERSON_B] spent 4 hours reading on Sunday, three-quarters of that time watching movies on Saturday, and then gamed for 3 hours on Monday.",Entertainment,time,less,3 + (23) + ((23)/2),4 + (3/4*4) + 3,enjoying leisure activities,TRUE
166,"[PERSON_A] bought 8 shirts during a sale, returned a quarter of them, and then purchased triple the remaining amount during another promotion.","[PERSON_B] purchased 6 shirts initially, doubled this amount during a sale, and then returned 3 shirts that didn't fit.",Shopping,others,less,8 - (8/4) + (3*(8-8/4)),6 + (2*6) - 3,buying shirts,TRUE
167,"[PERSON_A] spent 5 hours on a project, devoted triple that time to research, and then used half the research time for final revisions.","[PERSON_B] researched for 15 hours, spent a third of that time on the initial project work, and then used half the initial project time for revisions.",Education,time,less,5 + (3*5) + ((3*5)/2),15 + (15/3) + ((15/3)/2),spending time,TRUE
168,"[PERSON_A] paid $80 for a hotel room, spent half that amount on dinner, and then triple the dinner cost on local activities.","[PERSON_B] spent $120 on local activities, a third of that amount on dinner, and two-thirds of the dinner cost on a hotel room.",Travel,money,less,80 + (80/2) + (3*(80/2)),120 + (120/3) + ((120/3)*2/3),traveling,TRUE
169,"[PERSON_A] trained for 6 hours at the gym, spent a third of that time doing cardio, and twice the cardio time stretching.","[PERSON_B] did 2 hours of cardio at the gym, triple that time strength training, and another 2 hours stretching.",Health & Fitness,time,less,6 + (6/3) + (2*(6/3)),2 + (3*2) + 2,spending time,TRUE
170,"[PERSON_A] applied 30 minutes to clean the kitchen, triple that time for the living room, and half the living room time for the bathroom.","[PERSON_B] spent 90 minutes cleaning the living room, a third of that time on the kitchen, and half the kitchen time on the bathroom.",Home & Living,time,less,30 + (3*30) + ((3*30)/2),90 + (90/3) + ((90/3)/2),cleaning,TRUE
171,"[PERSON_A] bought 3 tickets for $12 each, then purchased 4 snacks at $5 apiece, and finally spent $9 on a souvenir.","[PERSON_B] bought 6 tickets for $6 each, then purchased 2 snacks at $5 apiece, and finally spent $9 on a souvenir.",Entertainment,money,less,(3×12) + (4×5) + 9,(6×6) + (2×5) + 9,attending an event,FALSE
172,"[PERSON_A] jogged 5 miles on Monday, twice Monday's distance on Wednesday, and half of Monday's distance on Friday.","[PERSON_B] jogged 3 miles on Monday, three times Monday's distance on Wednesday, and the same as Monday's distance on Friday.",Health & Fitness,distance,less,5 + (2×5) + (5/2),3 + (3×3) + 3,jogging miles,TRUE
173,"[PERSON_A] spent $20 on a shirt, triple that amount on pants, and half the shirt's cost on socks.","[PERSON_B] spent $15 on a shirt, four times that amount on pants, and one-third the shirt's cost on socks.",Shopping,money,less,20 + (3×20) + (20/2),15 + (4×15) + (15/3),buying clothing,TRUE
174,"[PERSON_A] saved $40 in January, twice January's amount in February, and half of January's amount in March.","[PERSON_B] saved $20 in January, four times January's amount in February, and the same as January's amount in March.",Personal Care,money,less,40 + (2×40) + (40/2),20 + (4×20) + 20,saving money,TRUE
175,"[PERSON_A] paid $15 for breakfast, twice that amount for lunch, and half of breakfast's cost for dinner.","[PERSON_B] paid $10 for breakfast, three times that amount for lunch, and the same as breakfast's cost for dinner.",Dining,money,less,15 + (2×15) + (15/2),10 + (3×10) + 10,buying meals,TRUE
176,"[PERSON_A] drove 60 miles on day one of vacation, half that distance on day two, and a quarter of day one's distance on day three.","[PERSON_B] drove 40 miles on day one of vacation, three-quarters of day one's distance on day two, and a quarter of day one's distance on day three.",Travel,distance,less,60 + (60/2) + (60/4),40 + (40×3/4) + (40/4),driving miles on vacation,TRUE
177,"[PERSON_A] picked 8 pounds of apples, three times that amount of oranges, and a quarter of the apple weight in berries.","[PERSON_B] picked 6 pounds of apples, four times that amount of oranges, and half of the apple weight in berries.",Shopping,weight,less,8 + (3×8) + (8/4),6 + (4×6) + (6/2),picking pounds of fruit,TRUE
178,"[PERSON_A] spent $25 on skincare products, twice that amount on makeup, and one-fifth of the skincare cost on hair accessories.","[PERSON_B] spent $20 on skincare products, two and a half times that amount on makeup, and one-fourth of the skincare cost on hair accessories.",Personal Care,money,less,25 + (2×25) + (25/5),20 + (2.5×20) + (20/4),buying beauty products,TRUE
179,"[PERSON_A] traveled 100 kilometers by train, twice that distance by bus, and a fifth of the train distance by bicycle.","[PERSON_B] traveled 80 kilometers by train, two and a half times that distance by bus, and a quarter of the train distance by bicycle.",Transportation,distance,less,100 + (2×100) + (100/5),80 + (2.5×80) + (80/4),traveling kilometers using different transportation,TRUE
180,"[PERSON_A] spent $30 on a main dish, half that amount on appetizers, and a third of the main dish cost on dessert.","[PERSON_B] spent $25 on a main dish, three-fifths of that amount on appetizers, and two-fifths of the main dish cost on dessert.",Dining,money,less,30 + (30/2) + (30/3),25 + (25×3/5) + (25×2/5),dining at a restaurant,TRUE
181,"[PERSON_A] bought a smartphone for $300, accessories for a sixth of the phone's price, and a case for half the accessory cost.","[PERSON_B] bought a smartphone for $240, accessories for a fifth of the phone's price, and a case for three-quarters of the accessory cost.",Technology,money,less,300 + (300/6) + ((300/6)/2),240 + (240/5) + ((240/5)×3/4),buying phone and accessories,TRUE
182,"[PERSON_A] paid $400 for rent, three-quarters of that amount for utilities, and a tenth of the rent for internet.","[PERSON_B] paid $350 for rent, four-fifths of that amount for utilities, and a seventh of the rent for internet.",Home & Living,money,less,400 + (400×3/4) + (400/10),350 + (350×4/5) + (350/7),paying housing expenses,FALSE
183,"[PERSON_A] walked 2 miles to work, four times that distance during lunch break, and half the work distance back home.","[PERSON_B] walked 3 miles to work, twice that distance during lunch break, and a third of the work distance back home.",Transportation,distance,less,2 + (4×2) + (2/2),3 + (2×3) + (3/3),walking miles during the day,TRUE
184,"[Person_A] paid $12 for lunch, twice that amount for dinner, and half the lunch cost for a snack.","[Person_B] paid $18 for lunch, one and a half times that amount for dinner, and one-third of the lunch cost for a snack.",Dining,money,more,12 + (2*12) + (12/2),18 + (1.5*18) + (18/3),buying meals,TRUE
185,"[Person_A] bought 3 shirts for $20 each, 2 pairs of pants for three times the price of a shirt, and a jacket for twice the price of a pair of pants.","[Person_B] bought 6 shirts for $10 each, 1 pair of pants for six times the price of a shirt, and a jacket for the same price as a pair of pants.",Shopping,money,less,3*20 + 2(3*20) + (2*3*20),6*10 + 1*(6*10) + (1*6*10),buying clothing,TRUE
186,"[Person_A] downloaded 3 movies of 2 gigabytes each, 5 music albums of twice a movie's size, and 1 game that was four times the size of a music album.","[Person_B] downloaded 6 movies of 1 gigabyte each, 10 music albums of the same size as a movie, and 1 game that was eight times the size of a music album.",Technology,others,less,3*2 + 5(2*2) + 1(4*2*2),6*1 + 10*1 + 1*(8*1),downloading digital content,TRUE
187,"[Person_A] ate 4 apples of 100 grams each, 2 bananas weighing twice as much as an apple, and 1 orange weighing as much as 3 apples.","[Person_B] ate 2 apples of 200 grams each, 4 bananas weighing the same as an apple, and 1 orange weighing as much as 1.5 apples.",Dining,weight,more,4*100 + 2(2*100) + 1(3*100),2*200 + 4*200 + 1(1.5*200),consuming fruit,TRUE
188,"[Person_A] spent $15 on a book, three times that amount on a board game, and half the book's price on a magazine.","[Person_B] spent $20 on a book, twice that amount on a board game, and three-quarters of the book's price on a magazine.",Entertainment,money,more,15 + (3*15) + (15/2),20 + (2*20) + (0.75*20),buying entertainment items,TRUE
189,"[Person_A] exercised for 30 minutes on Monday, twice that time on Wednesday, and two-thirds of Monday's time on Friday.","[Person_B] exercised for 45 minutes on Monday, one and a half times that duration on Wednesday, and two-fifths of Monday's time on Friday.",Health & Fitness,time,more,30 + (2*30) + (2/3*30),45 + (1.5*45) + (2/5*45),exercising,TRUE
